DATE,PRODUCT_LINE,REVENUE,COGS,FORECASTED_REVENUE
2023-01-08,Toys,1591.38,3792.02,525.22
2023-01-08,Books,4035.39,226.35,8664.96
2023-01-09,Electronics,987.54,657.85,3260.46
2023-01-09,Clothing,8845.38,5613.25,117.83
2023-01-09,Home Appliances,3905.89,1719.51,8478.03
2023-01-09,Toys,1197.99,2268.23,2178.88
2023-01-09,Books,4699.83,93.83,4098.76
2023-01-10,Electronics,746.39,185.62,3219.9
2023-01-10,Clothing,3247.66,77.54,4468.51
2023-01-10,Home Appliances,1630.16,3179.53,1065.84
2023-01-10,Toys,7505.51,195.57,886.23
2023-01-10,Books,704.7,2559.61,3252.77
2023-01-11,Electronics,2839.72,1150.79,4840.03
2023-01-11,Clothing,1817.97,4291.58,4117.48
2023-01-11,Home Appliances,3962.6,1208.88,1140.26
2023-01-11,Toys,2417.29,829.19,1532.4
2023-01-11,Books,6879.67,261.74,4663.08
2023-01-12,Electronics,118.31,412.74,1077.56
2023-01-12,Clothing,4778.6,798.77,6708.02
2023-01-12,Home Appliances,1246.17,2130.8,1644.04
2023-01-12,Toys,1487.86,754.61,1154.44
2023-01-12,Books,7658.01,4453.86,6144.29
2023-01-13,Electronics,7673.86,2607.17,322.11
2023-01-13,Clothing,937.98,84.43,1063.18
2023-01-13,Home Appliances,4321.04,1793.98,1425.55
2023-01-13,Toys,270.61,3902.43,6438.83
2023-01-13,Books,2476.96,892.2,4874.84
2023-01-14,Electronics,6007.65,2680.08,1547.49
2023-01-14,Clothing,732.69,1565.41,8771.98
2023-01-14,Home Appliances,2398.55,58.26,275.06
2023-01-14,Toys,9644.64,3326.66,2896.12
2023-01-14,Books,472.44,1836.36,4527.47
2023-01-15,Electronics,34.58,135.64,2293.31
2023-01-15,Clothing,1691.08,1015.89,439.24
2023-01-15,Home Appliances,1082.92,533.63,1821.64
2023-01-15,Toys,3035.33,3336.5,4051.73
2023-01-15,Books,4866.45,528.41,2346.21
2023-01-16,Electronics,592.11,2559.97,1890.29
2023-01-16,Clothing,819.02,711.58,343.9
2023-01-16,Home Appliances,1109.49,352.2,50.58
2023-01-16,Toys,1477.68,1512.93,7390.17
2023-01-16,Books,6872.99,1076.75,286.14
2023-01-17,Electronics,2422,403.62,802.42
2023-01-17,Clothing,1000.23,750.21,2526.18
2023-01-17,Home Appliances,620.56,1138.82,4310.29
2023-01-17,Toys,5864.2,1440.83,897.48
2023-01-17,Books,295.19,1280.33,2445.05
2023-01-18,Electronics,4071.53,613.43,2671.13
2023-01-18,Clothing,8295.55,5953.16,218.91
2023-01-18,Home Appliances,3492.11,204.07,2194.34
2023-01-18,Toys,1757.86,754.42,126.69
2023-01-18,Books,709.15,3294.25,13920.09
2023-01-19,Electronics,1103.49,473.97,9277.21
2023-01-19,Clothing,2956.4,3597.71,2677.01
2023-01-19,Home Appliances,2525.99,1432.24,1728.12
2023-01-19,Toys,6337.94,2183.4,3303.09
2023-01-19,Books,4857.75,1472.86,2454.77
2023-01-20,Electronics,5886.4,142.58,1730.37
2023-01-20,Clothing,8425.53,1361.3,9373.78
2023-01-20,Home Appliances,1124.11,6492.62,1936.15
2023-01-20,Toys,1603.22,1854.2,5051.33
2023-01-20,Books,1660.86,699.04,637.05
2023-01-21,Electronics,5824.61,4054.85,2658.74
2023-01-21,Clothing,7817.68,639.35,2372.3
2023-01-21,Home Appliances,2394.15,1550.55,3117.82
2023-01-21,Toys,139.27,1303.78,3969.85
2023-01-21,Books,3610.47,3962.45,6877.62
2023-01-22,Electronics,786.67,3708.1,1053.03
2023-01-22,Clothing,6077.99,241.4,1936.28
2023-01-22,Home Appliances,4673.1,135.01,237.27
2023-01-22,Toys,4196.99,2500.04,3943.57
2023-01-22,Books,2256.84,3546.6,10999.55
2023-01-23,Electronics,1333.55,1835.83,1340.67
2023-01-23,Clothing,2515.04,3172.31,9478.16
2023-01-23,Home Appliances,5335.66,195.54,2420.88
2023-01-23,Toys,328.04,670.9,630.61
2023-01-23,Books,5102.5,437.3,2003.74
2023-01-24,Electronics,169.25,3197.09,5104
2023-01-24,Clothing,6822.14,765.44,5481.91
2023-01-24,Home Appliances,6632.5,214.64,5076.28
2023-01-24,Toys,210.7,1251.55,1050.22
2023-01-24,Books,3970.7,3932.94,1166.81
2023-01-25,Electronics,2318.22,1256.53,588.44
2023-01-25,Clothing,618.06,585.05,2811.64
2023-01-25,Home Appliances,533.39,2611.78,1473.14
2023-01-25,Toys,4928.08,471.09,2368.74
2023-01-25,Books,2784.99,439.77,3420.13
2023-01-26,Electronics,4193.95,1892.96,5027.33
2023-01-26,Clothing,4149.43,1500.09,3857.25
2023-01-26,Home Appliances,5059.47,1361.82,3118.49
2023-01-26,Toys,129.96,390.53,4652.9
2023-01-26,Books,2866.4,1619.97,981.05
2023-01-27,Electronics,950.76,260.88,1879.74
2023-01-27,Clothing,2077.6,433.29,2969.71
2023-01-27,Home Appliances,4801.34,1151.06,2037.28
2023-01-27,Toys,771.81,2404.07,2100.75
2023-01-27,Books,2832.02,1293.75,2153.17
2023-01-28,Electronics,4504.87,1211.29,356.9
2023-01-28,Clothing,2424.5,2093.14,10117.47
2023-01-28,Home Appliances,2715.82,3195.23,1978.09
2023-01-28,Toys,9699.26,1245.17,1009.45
2023-01-28,Books,102.24,1039.96,4045.49
2023-01-29,Electronics,3640.22,241.75,1380.7
2023-01-29,Clothing,7181.52,2217.36,7994.18
2023-01-29,Home Appliances,3380.35,3033.42,2205.38
2023-01-29,Toys,590.33,633.29,724.4
2023-01-29,Books,426.06,2545.79,2145.85
2023-01-30,Electronics,813.44,1104.64,4014.94
2023-01-30,Clothing,463.02,1797.22,1150.79
2023-01-30,Home Appliances,8374.54,621.29,6608.11
2023-01-30,Toys,409.27,1614.06,465.07
2023-01-30,Books,4086.35,615.67,1393.43
2023-01-31,Electronics,1726.42,173.17,1555.27
2023-01-31,Clothing,1648.46,1490.12,1003.08
2023-01-31,Home Appliances,1404.4,1128.57,1743.4
2023-01-31,Toys,6981.08,543.16,9126.31
2023-01-31,Books,885.2,4148.58,124.88
2023-02-01,Electronics,3994.38,1141.32,5779.29
2023-02-01,Clothing,2087.22,94.38,6907.51
2023-02-01,Home Appliances,1297.07,1138.57,1346.77
2023-02-01,Toys,8014.38,1306.58,1196.54
2023-02-01,Books,2349.29,4677.1,2364.98
2023-02-02,Electronics,314.97,2528.09,1895.46
2023-02-02,Clothing,1344.73,351.33,2684
2023-02-02,Home Appliances,3785.05,2876.37,900.07
2023-02-02,Toys,2944.12,448.69,2577.66
2023-02-02,Books,6172.63,658.96,6342.93
2023-02-03,Electronics,748.67,111.69,5251.03
2023-02-03,Clothing,3539.66,79.57,2690.67
2023-02-03,Home Appliances,1535.82,1595.85,832.15
2023-02-03,Toys,2125.37,3588.72,5057.4
2023-02-03,Books,7734.82,949.13,1338.96
2023-02-04,Electronics,4156.05,829.38,640.17
2023-02-04,Clothing,2119.9,704.51,350.92
2023-02-04,Home Appliances,476.9,487.62,7917.32
2023-02-04,Toys,2343.99,1707.93,223.56
2023-02-04,Books,1091.06,723.14,1831.59
2023-02-05,Electronics,2110.32,684.56,998.9
2023-02-05,Clothing,136.65,3314.4,8964.62
2023-02-05,Home Appliances,5519.67,2513.14,956.68
2023-02-05,Toys,2618.12,1086.42,5897.86
2023-02-05,Books,5791.59,170.21,798.08
2023-02-06,Electronics,3882.69,241.04,5842.45
2023-02-06,Clothing,4444.26,1594.34,2285.88
2023-02-06,Home Appliances,1007.3,285.42,1126.21
2023-02-06,Toys,4544.7,6140.69,6893.41
2023-02-06,Books,2242.01,1183.11,1558.96
2023-02-07,Electronics,4627.09,723.62,2466.95
2023-02-07,Clothing,8113.73,942.74,902.55
2023-02-07,Home Appliances,155.81,1053.04,6499.74
2023-02-07,Toys,778.94,3873.64,4617.82
2023-02-07,Books,2493.77,196.84,1283.68
2023-02-08,Electronics,15586.16,845.88,3793.2
2023-02-08,Clothing,575.89,3289.02,3283.09
2023-02-08,Home Appliances,1535.55,729.51,9031.79
2023-02-08,Toys,200.48,5453.7,638.86
2023-02-08,Books,1539.4,1131.74,4502.69
2023-02-09,Electronics,1140.75,598.28,4398.36
2023-02-09,Clothing,8667.27,146.34,3200.52
2023-02-09,Home Appliances,5510.64,2715.34,5627.56
2023-02-09,Toys,1425.44,5232.45,4502.64
2023-02-09,Books,74.1,959.52,70.9
2023-02-10,Electronics,2788.47,2939.65,1517.88
2023-02-10,Clothing,1694.35,1670.09,1038.97
2023-02-10,Home Appliances,259.24,74.52,807.27
2023-02-10,Toys,8687.38,1001.44,8782.11
2023-02-10,Books,165.64,987.21,1926.55
2023-02-11,Electronics,5126.96,1037.11,1338.73
2023-02-11,Clothing,885.33,1868.09,3524.45
2023-02-11,Home Appliances,1451.91,2811.67,463.4
2023-02-11,Toys,4031.35,226,6332.5
2023-02-11,Books,2874.77,744.22,1978.04
2023-02-12,Electronics,6309.83,340.41,929.59
2023-02-12,Clothing,2204.21,906.1,890.67
2023-02-12,Home Appliances,233.76,2614.47,77.12
2023-02-12,Toys,4899.19,3381.98,7560.66
2023-02-12,Books,3329.32,337.79,6555.57
2023-02-13,Electronics,3553.34,929.02,1723.38
2023-02-13,Clothing,157.72,740.32,948.45
2023-02-13,Home Appliances,1440.79,1475.25,1290.48
2023-02-13,Toys,523.27,2310.67,5596.02
2023-02-13,Books,4927.13,88.58,335.8
2023-02-14,Electronics,1500.15,135,481.7
2023-02-14,Clothing,2670.3,2580.82,3900.28
2023-02-14,Home Appliances,4228.26,283.97,11803.8
2023-02-14,Toys,1854.48,347.27,123.79
2023-02-14,Books,6414.48,3430.26,1767.37
2023-02-15,Electronics,5044.64,2379.68,2556.21
2023-02-15,Clothing,200.09,326.29,1269.31
2023-02-15,Home Appliances,75.91,1571.15,6340.71
2023-02-15,Toys,2214.28,1666.26,5160.99
2023-02-15,Books,9171.46,791.32,691.11
2023-02-16,Electronics,3117.16,1489.88,961.37
2023-02-16,Clothing,5021.42,1530.43,5072.98
2023-02-16,Home Appliances,104.38,639.77,1754.54
2023-02-16,Toys,70.68,1721.31,935.49
2023-02-16,Books,3790.19,498.15,3265.9
2023-02-17,Electronics,601.46,145.6,4682.3
2023-02-17,Clothing,1349.34,396.54,2028.47
2023-02-17,Home Appliances,6681.14,910.82,475.79
2023-02-17,Toys,845.51,723.15,3100.23
2023-02-17,Books,1811.81,2493.3,988.83
2023-02-18,Electronics,2034.66,3671.57,3371.64
2023-02-18,Clothing,5806.05,537.99,1875.82
2023-02-18,Home Appliances,2979.46,620.8,7962.37
2023-02-18,Toys,1077.06,344.95,199.42
2023-02-18,Books,1257.05,749.22,476.86
2023-02-19,Electronics,632.15,875.52,1515.51
2023-02-19,Clothing,1609.54,1750.61,1749.23
2023-02-19,Home Appliances,2572.52,2155.26,1880.16
2023-02-19,Toys,6314.35,490.9,1161.82
2023-02-19,Books,2508.55,785.75,8269.26
2023-02-20,Electronics,6170.62,3105.29,809.78
2023-02-20,Clothing,751.39,701.22,883.42
2023-02-20,Home Appliances,1902.49,1697.47,723.54
2023-02-20,Toys,2168.7,358.53,1673.7
2023-02-20,Books,4708.77,1213.4,10478.07
2023-02-21,Electronics,1372.88,538.59,4099.14
2023-02-21,Clothing,1414.22,1759.1,3169.29
2023-02-21,Home Appliances,1721.39,1432.75,637.52
2023-02-21,Toys,6505.14,1609.38,3899.46
2023-02-21,Books,3372.39,791.66,2370.29
2023-02-22,Electronics,479.44,351.35,12855.29
2023-02-22,Clothing,499.14,774.86,1057.13
2023-02-22,Home Appliances,2843.02,658.05,1385.32
2023-02-22,Toys,8913.29,3184.42,2915.43
2023-02-22,Books,7148.85,3032.68,3034.02
2023-02-23,Electronics,2945.48,2143.7,4365.59
2023-02-23,Clothing,3487.9,233.79,3652.27
2023-02-23,Home Appliances,809.96,2038.95,2014.65
2023-02-23,Toys,1901.47,201.51,793.74
2023-02-23,Books,1875.64,44.77,895.17
2023-02-24,Electronics,2177.68,498.17,1772.85
2023-02-24,Clothing,5087.2,315.26,2661.31
2023-02-24,Home Appliances,527.11,1034.62,957.88
2023-02-24,Toys,2551.08,3024.88,1408.08
2023-02-24,Books,1745.7,1457.91,4327.38
2023-02-25,Electronics,1853.46,1387.48,4916.53
2023-02-25,Clothing,3183.76,2867.47,3593.61
2023-02-25,Home Appliances,6155.59,956.57,346.22
2023-02-25,Toys,79.81,820.27,907.2
2023-02-25,Books,340.48,876.27,1051.44
2023-02-26,Electronics,8352.61,3606.75,5466.8
2023-02-26,Clothing,517.75,882.06,640.93
2023-02-26,Home Appliances,4294.89,2848.79,164.82
2023-02-26,Toys,1468.95,1896.86,2503.07
2023-02-26,Books,1896.88,652.27,7108.1
2023-02-27,Electronics,3302.32,31.5,2436.36
2023-02-27,Clothing,83.66,538.71,3243.99
2023-02-27,Home Appliances,5638.14,2752.6,2456.62
2023-02-27,Toys,1604.18,1981.71,1958.77
2023-02-27,Books,1904.62,733.97,1372.78
2023-02-28,Electronics,4176.62,1249.16,1106.61
2023-02-28,Clothing,5577.74,2372.91,3978.28
2023-02-28,Home Appliances,2274.29,298.03,4790.98
2023-02-28,Toys,573.23,1241.34,625.17
2023-02-28,Books,2061.23,1181.69,3941.13
2023-03-01,Electronics,289.1,1473.31,897.22
2023-03-01,Clothing,1275.51,1389.99,6908.64
2023-03-01,Home Appliances,601.09,863.48,1509.61
2023-03-01,Toys,4980.73,2709.62,1105.28
2023-03-01,Books,5297.83,131.09,1046.92
2023-03-02,Electronics,1146.38,62.06,6371.08
2023-03-02,Clothing,1138.2,935.01,2400.33
2023-03-02,Home Appliances,5004.27,3893.33,758.12
2023-03-02,Toys,2585.33,557.63,195.21
2023-03-02,Books,1715.52,324.35,2023.08
2023-03-03,Electronics,656.27,3571.57,397.43
2023-03-03,Clothing,793.53,249.76,3828.67
2023-03-03,Home Appliances,391.95,636.96,1741.44
2023-03-03,Toys,1164.65,1770.46,3293.52
2023-03-03,Books,8097.35,409.98,1279.86
2023-03-04,Electronics,7138.72,374.84,3448.44
2023-03-04,Clothing,369.71,727.57,3283.98
2023-03-04,Home Appliances,74.88,2221.95,2345.55
2023-03-04,Toys,6718.75,3471.66,5319.2
2023-03-04,Books,2261.24,45.63,2485.58
2023-03-05,Electronics,905.63,169.51,1765.77
2023-03-05,Clothing,4539.9,2991.43,753.24
2023-03-05,Home Appliances,4189.85,843.96,5485.48
2023-03-05,Toys,527.89,753.04,1489.58
2023-03-05,Books,1218.56,1577.72,1017.11
2023-03-06,Electronics,409.42,33.57,4377.62
2023-03-06,Clothing,1556.48,11.53,880.66
2023-03-06,Home Appliances,937.78,2834.36,1728.67
2023-03-06,Toys,1418.9,1458.89,2055.33
2023-03-06,Books,7643.24,1138.16,4062.41
2023-03-07,Electronics,669.58,164.64,3999.6
2023-03-07,Clothing,1416.86,629.81,1138.74
2023-03-07,Home Appliances,1900.22,2693.98,490.77
2023-03-07,Toys,5019.76,2638.3,2755.39
2023-03-07,Books,4680.83,9.04,6486.87
2023-03-08,Electronics,463.9,1391.9,2913.74
2023-03-08,Clothing,2187.43,6.24,3473.94
2023-03-08,Home Appliances,9808.89,4141.05,1836.27
2023-03-08,Toys,1202.9,537.8,8900.22
2023-03-08,Books,4546.81,3619.82,691.69
2023-03-09,Electronics,2548.53,830.61,141.9
2023-03-09,Clothing,569.11,628.64,7596.93
2023-03-09,Home Appliances,2651.27,688.85,866.97
2023-03-09,Toys,1771.48,2376.69,600.62
2023-03-09,Books,3430.62,403.53,1198.88
2023-03-10,Electronics,2523.1,1786.45,10855.65
2023-03-10,Clothing,1457.37,799.43,398.43
2023-03-10,Home Appliances,6450.3,3136.52,2948.35
2023-03-10,Toys,5094.48,3893.67,787.83
2023-03-10,Books,2854.2,183.33,2471.68
2023-03-11,Electronics,2565.81,1839.61,1472.7
2023-03-11,Clothing,538.55,28.11,7657.78
2023-03-11,Home Appliances,1929.37,16.67,142.07
2023-03-11,Toys,4648.36,1698.85,2.55
2023-03-11,Books,1278.89,1935.2,1649.48
2023-03-12,Electronics,346.82,348.34,3327.29
2023-03-12,Clothing,7533.16,1277.48,4644.06
2023-03-12,Home Appliances,3899.8,1490.18,5539.98
2023-03-12,Toys,3017.32,4304.15,2690.86
2023-03-12,Books,4967.49,2162.08,1744.03
2023-03-13,Electronics,3586.04,1905.26,4164.19
2023-03-13,Clothing,1311.9,848.92,1353.56
2023-03-13,Home Appliances,4230.43,1336.86,2754.89
2023-03-13,Toys,4928.93,1700.42,6336.18
2023-03-13,Books,629.21,1712.43,488.05
2023-03-14,Electronics,3304.91,14.24,30.67
2023-03-14,Clothing,2642.21,861.27,1017.17
2023-03-14,Home Appliances,2728.04,3698.64,5473.93
2023-03-14,Toys,9805.89,516.72,2867.83
2023-03-14,Books,1286.56,3951.04,10015.48
2023-03-15,Electronics,6448.55,590.07,2324.98
2023-03-15,Clothing,3655.07,3022.89,904.89
2023-03-15,Home Appliances,965.34,1000.81,4252.66
2023-03-15,Toys,2674.7,1464.87,3138.75
2023-03-15,Books,2304.8,2608.63,5033.69
2023-03-16,Electronics,4190.82,995.34,8299.12
2023-03-16,Clothing,1425.76,3.35,4526.5
2023-03-16,Home Appliances,809.09,572.92,2442.14
2023-03-16,Toys,4118.39,2869.98,430.58
2023-03-16,Books,6848.58,3958.56,2770.43
2023-03-17,Electronics,39.58,437.79,220.03
2023-03-17,Clothing,2486.61,351.89,2611.71
2023-03-17,Home Appliances,1412.93,2611.63,1188.98
2023-03-17,Toys,5515.98,437.11,5650.25
2023-03-17,Books,936.78,1067.68,1155.36
2023-03-18,Electronics,1816.33,512.42,197.66
2023-03-18,Clothing,2043.27,160.53,4247.32
2023-03-18,Home Appliances,427.61,1083.66,144.08
2023-03-18,Toys,3526.07,3998.87,3235.1
2023-03-18,Books,5014.79,1501.76,6169.55
2023-03-19,Electronics,142.82,379.03,299.37
2023-03-19,Clothing,824.64,1856.06,2167.08
2023-03-19,Home Appliances,92.86,2366.61,1587.83
2023-03-19,Toys,7507.87,625.85,4235.24
2023-03-19,Books,2633.78,1325.53,2580.72
2023-03-20,Electronics,6525.81,664.54,816.24
2023-03-20,Clothing,1485.94,101.39,3.68
2023-03-20,Home Appliances,3174.57,1930.03,1650.61
2023-03-20,Toys,919.28,348.13,5620.08
2023-03-20,Books,855.8,2259.73,5901.33
2023-03-21,Electronics,633.67,786.75,280.65
2023-03-21,Clothing,1430.08,2474.85,4131.83
2023-03-21,Home Appliances,593.92,678.76,73.45
2023-03-21,Toys,3075.07,38.3,203.13
2023-03-21,Books,5454.54,1016.74,7102.26
2023-03-22,Electronics,610.66,660.75,4963.82
2023-03-22,Clothing,4253.1,722.13,744.71
2023-03-22,Home Appliances,2353.09,2785.57,6448.9
2023-03-22,Toys,855.5,1292.57,479.15
2023-03-22,Books,5107.48,729.6,167.43
2023-03-23,Electronics,1397.38,4618.4,4624.18
2023-03-23,Clothing,4281.58,994.66,1329.86
2023-03-23,Home Appliances,591.99,406.83,5451.88
2023-03-23,Toys,1607.67,1227.44,2284.25
2023-03-23,Books,6264.01,714.88,796.59
2023-03-24,Electronics,1406.43,2258.95,8267.2
2023-03-24,Clothing,2045.1,2405.56,571.48
2023-03-24,Home Appliances,1023.55,485.55,127.13
2023-03-24,Toys,5030.84,876.32,649.54
2023-03-24,Books,1135.55,327.63,576.14
2023-03-25,Electronics,247.61,1207.19,2210.84
2023-03-25,Clothing,1172.89,5970.58,2728.42
2023-03-25,Home Appliances,2758.12,2190.02,10152.68
2023-03-25,Toys,4888.19,559.18,382.66
2023-03-25,Books,7857.91,122.83,2717.44
2023-03-26,Electronics,1100.06,5846.12,282.69
2023-03-26,Clothing,2555.83,848.33,10396.88
2023-03-26,Home Appliances,3220.45,596.81,401.21
2023-03-26,Toys,787.84,653.57,1682.94
2023-03-26,Books,8001.83,1156.96,1687.95
2023-03-27,Electronics,1947.58,2038.21,3112.76
2023-03-27,Clothing,3952.61,2799.65,650.73
2023-03-27,Home Appliances,1507.41,227.88,2742.08
2023-03-27,Toys,2512.86,281.02,54.68
2023-03-27,Books,2733.43,465.32,5365.88
2023-03-28,Electronics,5602.94,24.28,609.93
2023-03-28,Clothing,382.17,567.53,3837.11
2023-03-28,Home Appliances,1916.58,8120.75,1114.92
2023-03-28,Toys,1311.86,88.23,2691.69
2023-03-28,Books,6018.93,314.36,6013.19
2023-03-29,Electronics,173.63,925.2,375.42
2023-03-29,Clothing,6332.68,2228.47,833.47
2023-03-29,Home Appliances,3257.29,530.84,2776.84
2023-03-29,Toys,119.93,619.08,4546.46
2023-03-29,Books,1055.88,617.87,2195.05
2023-03-30,Electronics,2864.7,974.76,2919.19
2023-03-30,Clothing,3036.23,121.26,457.85
2023-03-30,Home Appliances,5369.47,390.98,624.92
2023-03-30,Toys,3645.23,4533.84,12520.08
2023-03-30,Books,843.83,616.75,10.37
2023-03-31,Electronics,4558.22,703.5,3564.51
2023-03-31,Clothing,7992.76,2488.18,7597.53
2023-03-31,Home Appliances,984.32,5280.13,1268.1
2023-03-31,Toys,1424.63,802.44,3311.18
2023-03-31,Books,4333.03,2112.27,3655.47
2023-04-01,Electronics,843.05,125.99,620.29
2023-04-01,Clothing,4723.95,3606.49,4338.82
2023-04-01,Home Appliances,2100.8,161.75,5330.91
2023-04-01,Toys,1020.53,745.85,2845.33
2023-04-01,Books,4497.36,1249.76,17.84
2023-04-02,Electronics,2571.75,710.57,5681.02
2023-04-02,Clothing,10087.77,2433.34,1513.51
2023-04-02,Home Appliances,2957.63,1877.48,1781.42
2023-04-02,Toys,842.3,2933.19,1163.89
2023-04-02,Books,214.65,1015.32,4868.67
2023-04-03,Electronics,2569.38,597.34,1248.27
2023-04-03,Clothing,86.2,1264.94,453.7
2023-04-03,Home Appliances,603.25,1258.97,5689.36
2023-04-03,Toys,3528.9,947.48,576.62
2023-04-03,Books,4530.25,590.56,3181.17
2023-04-04,Electronics,4686.23,2207.95,104.61
2023-04-04,Clothing,5343.94,179.4,848.18
2023-04-04,Home Appliances,198.68,1258.07,7148.96
2023-04-04,Toys,3309.12,3882.85,3216.85
2023-04-04,Books,3625.3,1845.31,4346.5
2023-04-05,Electronics,3043.53,4880.04,1714.55
2023-04-05,Clothing,520.32,522.12,1750.84
2023-04-05,Home Appliances,1903.33,173.88,410.11
2023-04-05,Toys,3244.69,1691.68,573.95
2023-04-05,Books,4182.19,163.7,7692.25
2023-04-06,Electronics,3553.32,1409.52,2517.62
2023-04-06,Clothing,5094.45,274.45,2631.66
2023-04-06,Home Appliances,1519.28,715.75,4516.69
2023-04-06,Toys,1585.8,1542.83,58.55
2023-04-06,Books,79.06,1434.91,3130.6
2023-04-07,Electronics,159.69,894.19,5612.56
2023-04-07,Clothing,1140.86,4859.5,1399.65
2023-04-07,Home Appliances,5157.86,898.5,1378.83
2023-04-07,Toys,3786.87,426.56,1564.95
2023-04-07,Books,5619.85,470.06,5006.09
2023-04-08,Electronics,1379.2,2302.71,1391.95
2023-04-08,Clothing,1828.17,972.16,2033.74
2023-04-08,Home Appliances,1199.49,917.99,1872.06
2023-04-08,Toys,3637.48,35.02,77.16
2023-04-08,Books,2156.74,616.19,5557.25
2023-04-09,Electronics,1908.73,3944.14,4504.2
2023-04-09,Clothing,1916.27,3259.55,3191.1
2023-04-09,Home Appliances,75.32,2749.36,169.99
2023-04-09,Toys,14084.34,46.88,9200.54
2023-04-09,Books,304.74,54.81,2331.52
2023-04-10,Electronics,3510.63,395.08,3391.53
2023-04-10,Clothing,4479.27,681.04,759.17
2023-04-10,Home Appliances,1215.58,2546.12,1206.16
2023-04-10,Toys,570.74,514.01,3139.93
2023-04-10,Books,270.73,360.38,865.26
2023-04-11,Electronics,3951.53,908.24,773.73
2023-04-11,Clothing,1724.79,2640.58,2164.21
2023-04-11,Home Appliances,3579.59,1439.46,1879.42
2023-04-11,Toys,7068.63,2083.89,5132.08
2023-04-11,Books,453.63,215.77,7183.46
2023-04-12,Electronics,2917.88,147.08,58.59
2023-04-12,Clothing,615.25,860.22,3510.25
2023-04-12,Home Appliances,422.5,1309.08,1598.63
2023-04-12,Toys,3324.31,3396.15,923.5
2023-04-12,Books,5420.14,508.71,5632.88
2023-04-13,Electronics,913.43,769.11,6636.42
2023-04-13,Clothing,4405.52,1311.13,2890.24
2023-04-13,Home Appliances,463.82,2087.68,791.96
2023-04-13,Toys,4335.02,1508.87,5115.57
2023-04-13,Books,7234.15,2320.61,2708.61
2023-04-14,Electronics,6345.77,1177.55,5278.74
2023-04-14,Clothing,2971.24,4876.93,10811.94
2023-04-14,Home Appliances,2656.89,497.27,1757.34
2023-04-14,Toys,2747.29,934.22,1242
2023-04-14,Books,4900.7,3656.08,1071.32
2023-04-15,Electronics,5169.09,945.93,2374.48
2023-04-15,Clothing,6411.09,2551.34,7220.64
2023-04-15,Home Appliances,133.3,784.99,680.62
2023-04-15,Toys,485.63,479.13,1254.43
2023-04-15,Books,288.42,827.38,1736.43
2023-04-16,Electronics,926.03,4993.72,5573.08
2023-04-16,Clothing,1834.32,1415.05,514.09
2023-04-16,Home Appliances,3044.27,585.03,5904.66
2023-04-16,Toys,4279.14,888.16,1344.43
2023-04-16,Books,5677.81,6.36,2360.33
2023-04-17,Electronics,3143.1,3001.45,2356.11
2023-04-17,Clothing,6430.47,544.53,278.74
2023-04-17,Home Appliances,1547.5,1939.74,5701.36
2023-04-17,Toys,2656.89,54.14,5788.19
2023-04-17,Books,2142.46,3829.57,3116.98
2023-04-18,Electronics,2051.53,504.6,3980.74
2023-04-18,Clothing,11639.47,11.62,848.04
2023-04-18,Home Appliances,243.98,871.17,4103.61
2023-04-18,Toys,2.05,6154.67,4707.45
2023-04-18,Books,1785.49,740.56,665.61
