DATE,SALES_REGION,REVENUE,COGS,FORECASTED_REVENUE
2023-01-10,Asia,3919.23,1034.37,1194.28
2023-01-10,South America,825.31,2492.37,4061.41
2023-01-10,Africa,5239.15,283.29,1305.13
2023-01-11,North America,812.42,2223.35,4308.45
2023-01-11,Europe,3855.75,164.98,6239.45
2023-01-11,Asia,2101.62,2151.18,2430.85
2023-01-11,South America,4519.61,2509.3,1677.6
2023-01-11,Africa,6627.85,693.37,1636.9
2023-01-12,North America,270.98,1749.71,456.53
2023-01-12,Europe,1475.88,5034.27,116.97
2023-01-12,Asia,11654.59,297.16,10664.47
2023-01-12,South America,7.08,1399.02,4206.75
2023-01-12,Africa,1880.42,70.62,1283.63
2023-01-13,North America,2357.13,563.6,6335.1
2023-01-13,Europe,6465.05,207.51,3134.89
2023-01-13,Asia,1276.89,1049.17,1986.28
2023-01-13,South America,5573.18,1260.22,1363.22
2023-01-13,Africa,8.2,6199.71,1305.02
2023-01-14,North America,3939.16,3583.25,2540.75
2023-01-14,Europe,2245.42,2254.67,11910.13
2023-01-14,Asia,9637.91,881.93,2603.66
2023-01-14,South America,3010.62,2285.63,106.74
2023-01-14,Africa,422.86,461.29,856.84
2023-01-15,North America,3570.74,300.48,494.34
2023-01-15,Europe,38.57,1000.21,211.65
2023-01-15,Asia,1179.57,1014.89,2014.16
2023-01-15,South America,1998.77,3226.78,7758.87
2023-01-15,Africa,3922.71,7.71,473.11
2023-01-16,North America,948.42,1602.31,3938.32
2023-01-16,Europe,277.63,776.04,289.4
2023-01-16,Asia,4405.84,2325,1282.7
2023-01-16,South America,24.93,1132.35,1543.09
2023-01-16,Africa,5214.47,377.73,2907.57
2023-01-17,North America,528.68,1042.73,3525.23
2023-01-17,Europe,630.7,477.82,1025.73
2023-01-17,Asia,853.54,2635.01,2722.97
2023-01-17,South America,753.89,20.58,1513.95
2023-01-17,Africa,7435.37,837.67,2193.54
2023-01-18,North America,7587.46,2605.32,2256.92
2023-01-18,Europe,845.73,776.14,406.68
2023-01-18,Asia,543.66,2056.79,2910.04
2023-01-18,South America,3870.25,1296.35,1096.52
2023-01-18,Africa,5479.1,4084.73,12461
2023-01-19,North America,3023.57,3254.97,3141.78
2023-01-19,Europe,103.69,3433.86,5888.22
2023-01-19,Asia,5364.78,1166.81,1921.85
2023-01-19,South America,4624.83,494.31,1125.78
2023-01-19,Africa,4664.7,810.23,7362.57
2023-01-20,North America,532.19,1692.9,3359.94
2023-01-20,Europe,167.03,2113.61,2580.97
2023-01-20,Asia,13542.57,3504.91,8945.93
2023-01-20,South America,1489.08,2814.38,1722.72
2023-01-20,Africa,2969.25,423.94,2119.12
2023-01-21,North America,969.04,2974.99,1159.84
2023-01-21,Europe,6719.69,267.02,554.79
2023-01-21,Asia,6703.57,5454.27,3296.71
2023-01-21,South America,1252.89,2555.56,9907.6
2023-01-21,Africa,4140.99,259.14,4077.39
2023-01-22,North America,5560.15,3171.31,3120.9
2023-01-22,Europe,2934.16,1986.22,5596.18
2023-01-22,Asia,3293.87,2178.68,3447.67
2023-01-22,South America,5273.3,1170.04,1349.75
2023-01-22,Africa,930.11,1624.9,4655.2
2023-01-23,North America,5920.71,669.79,336.53
2023-01-23,Europe,385.21,1004.64,5215.24
2023-01-23,Asia,3269.55,1869.36,1808.93
2023-01-23,South America,2898.48,267.1,2006.35
2023-01-23,Africa,2140.84,2500.99,6507.01
2023-01-24,North America,919.33,1305.55,7178.06
2023-01-24,Europe,2185.16,570.61,508.99
2023-01-24,Asia,7285.52,3597.6,1823.3
2023-01-24,South America,5139.59,2656.14,7757.61
2023-01-24,Africa,2275.69,1231.76,611.26
2023-01-25,North America,4999.79,1561.51,1394.83
2023-01-25,Europe,2243.08,1977.69,1409.76
2023-01-25,Asia,66,502.34,5664.83
2023-01-25,South America,2025.5,195.76,244.11
2023-01-25,Africa,1848.37,1126.92,1948.56
2023-01-26,North America,199.01,822.54,1770.2
2023-01-26,Europe,10296.49,972.69,242.44
2023-01-26,Asia,2481.44,1684.29,1953.19
2023-01-26,South America,1077.62,3248.58,2414.37
2023-01-26,Africa,2344.65,37.27,11256.82
2023-01-27,North America,4367.32,1024.51,3696.99
2023-01-27,Europe,701.8,207.59,4768.97
2023-01-27,Asia,5973.71,3022.13,564.5
2023-01-27,South America,162.89,473.75,290.94
2023-01-27,Africa,227.81,815.07,1819.25
2023-01-28,North America,5762.28,183.76,1980.76
2023-01-28,Europe,4491.72,610.89,7772.1
2023-01-28,Asia,7013.72,6.78,1917.06
2023-01-28,South America,279.85,1688.21,592.89
2023-01-28,Africa,1899.12,6295.15,5244.59
2023-01-29,North America,3485.01,1381.25,5264.36
2023-01-29,Europe,1211.51,2950.96,514.37
2023-01-29,Asia,1042.62,310.77,4151.2
2023-01-29,South America,4917.03,1822.07,2987.34
2023-01-29,Africa,4562.31,2206.56,1533.24
2023-01-30,North America,3434.03,741.71,881.43
2023-01-30,Europe,2482.56,213.54,1247.88
2023-01-30,Asia,7760.3,2384.89,10605.89
2023-01-30,South America,53.48,1296.68,151.38
2023-01-30,Africa,416.25,1116.06,745.76
2023-01-31,North America,1479.52,2992.71,3296.81
2023-01-31,Europe,791.33,1119.88,5182.15
2023-01-31,Asia,834.01,576.42,2384.79
2023-01-31,South America,9432.07,2275.92,1241.25
2023-01-31,Africa,108.63,518.67,1447.94
2023-02-01,North America,129.55,774.34,2434.23
2023-02-01,Europe,13505.75,560.65,2898.32
2023-02-01,Asia,861.32,261.33,8166.19
2023-02-01,South America,216.87,3873.03,2823.54
2023-02-01,Africa,3028.85,2888.6,1272.81
2023-02-02,North America,4132.47,524.58,1604.27
2023-02-02,Europe,706.84,1401.38,4355.52
2023-02-02,Asia,5207.71,3528.63,7383.3
2023-02-02,South America,3877.85,681.54,705.87
2023-02-02,Africa,636.63,727.31,351.16
2023-02-03,North America,2525.95,1755.66,1436.7
2023-02-03,Europe,11370.73,722.78,3076.15
2023-02-03,Asia,581.33,664.53,6227.46
2023-02-03,South America,282.29,1562.52,52
2023-02-03,Africa,924.04,1619.47,4377.9
2023-02-04,North America,1351.87,378.55,1538.42
2023-02-04,Europe,1045.29,967.79,1826.07
2023-02-04,Asia,170.38,1633.03,2541.34
2023-02-04,South America,6686.24,1296.81,2758.1
2023-02-04,Africa,934.12,176.4,2299.63
2023-02-05,North America,2374.87,2138.29,225.38
2023-02-05,Europe,501.31,7.12,427.2
2023-02-05,Asia,1777.97,1037.06,1675.79
2023-02-05,South America,1979.89,1285.27,1204.36
2023-02-05,Africa,9542.31,3300.99,14083.41
2023-02-06,North America,3961.72,2435.36,6021.9
2023-02-06,Europe,7671.39,1454.23,3586.47
2023-02-06,Asia,2177.5,1713.99,3255.83
2023-02-06,South America,601.58,3080.11,210.39
2023-02-06,Africa,1708.77,760.91,4632.32
2023-02-07,North America,2833.05,1064.9,2746.64
2023-02-07,Europe,2451.26,1500.26,2390.92
2023-02-07,Asia,7129.13,1816.52,4793.06
2023-02-07,South America,2823,1233.35,5035.22
2023-02-07,Africa,932.9,1174.85,804.9
2023-02-08,North America,8106.11,3602.4,1857.28
2023-02-08,Europe,508.01,4324.91,9806.25
2023-02-08,Asia,1720.48,914.55,3654.51
2023-02-08,South America,5812.4,1473.87,5518.61
2023-02-08,Africa,3290.48,1134.12,412.98
2023-02-09,North America,3222.48,3042.23,1348.51
2023-02-09,Europe,4894.25,420.53,6977.23
2023-02-09,Asia,2421,390.27,2854.19
2023-02-09,South America,2125.17,5760.75,4197.8
2023-02-09,Africa,4155.3,38.15,2422.25
2023-02-10,North America,1957.04,1456.5,1790.81
2023-02-10,Europe,4061.61,2089.6,7196.86
2023-02-10,Asia,2653.9,1618.74,1369.53
2023-02-10,South America,4742.06,199.49,3179.81
2023-02-10,Africa,180.47,1308.58,535.77
2023-02-11,North America,9281.66,292.91,413.61
2023-02-11,Europe,455.58,1378.59,769.47
2023-02-11,Asia,171.95,2363.87,1611.52
2023-02-11,South America,2179.8,1033.37,2374.72
2023-02-11,Africa,2281.33,1618.35,8467.8
2023-02-12,North America,8276.05,3402.85,3561.12
2023-02-12,Europe,3349.04,430.63,4080.22
2023-02-12,Asia,1132.9,222.93,1927.44
2023-02-12,South America,2082.29,2759.32,4391.85
2023-02-12,Africa,2136.03,765.02,2052.98
2023-02-13,North America,3636.69,586.74,4046.49
2023-02-13,Europe,2182.39,2625.95,3315.49
2023-02-13,Asia,1225.18,266.66,1589.94
2023-02-13,South America,2869.33,1361.87,377.16
2023-02-13,Africa,688.66,702.62,565.05
2023-02-14,North America,2728.74,1162.34,3288.9
2023-02-14,Europe,471.56,631.26,291.89
2023-02-14,Asia,10748.08,480.6,2319.91
2023-02-14,South America,467.25,154.37,8816.75
2023-02-14,Africa,2252.04,4348.75,3359.49
2023-02-15,North America,4043.79,3344.87,7246.61
2023-02-15,Europe,1275.41,1563.22,654.73
2023-02-15,Asia,382.4,1748.57,2024.07
2023-02-15,South America,7696.04,0.65,5263.94
2023-02-15,Africa,3308.74,77.39,828.98
2023-02-16,North America,363.35,1742.98,1190.62
2023-02-16,Europe,1346.73,49.99,2932.52
2023-02-16,Asia,5289.21,1562.23,628.3
2023-02-16,South America,1140.47,1321.51,14.04
2023-02-16,Africa,3964.07,1202.83,7224.8
2023-02-17,North America,359.98,466.61,2307.26
2023-02-17,Europe,2217,253.18,513.38
2023-02-17,Asia,1503.93,2134.4,5897.46
2023-02-17,South America,6923.2,1433.66,1740.71
2023-02-17,Africa,285.15,381.56,816.81
2023-02-18,North America,2030.44,382.97,211.95
2023-02-18,Europe,1002.57,530.79,2009.93
2023-02-18,Asia,2545.65,28.03,8403.32
2023-02-18,South America,609.81,4086,836.03
2023-02-18,Africa,6965.81,896.74,2424.88
2023-02-19,North America,1367.17,1003.66,6988.85
2023-02-19,Europe,1341.35,1127.87,3595.64
2023-02-19,Asia,3662.39,2377.46,330.17
2023-02-19,South America,5649.73,1440.72,3465.86
2023-02-19,Africa,1616.47,108.33,195.46
2023-02-20,North America,4052.43,861.68,5458.64
2023-02-20,Europe,426.91,1109.11,945.06
2023-02-20,Asia,799.06,2305.76,1553.62
2023-02-20,South America,3243.71,2789.94,5071.23
2023-02-20,Africa,7179.86,9.42,1539.96
2023-02-21,North America,436.74,1633.26,668.1
2023-02-21,Europe,505.58,54.02,10697.83
2023-02-21,Asia,12954.96,3228.33,735.37
2023-02-21,South America,335.15,491.05,484.4
2023-02-21,Africa,153.59,724.82,1590
2023-02-22,North America,5464.45,428.61,1465.95
2023-02-22,Europe,1830.21,3270.04,9732.24
2023-02-22,Asia,2544.32,578.05,2074.48
2023-02-22,South America,6928.53,2190.44,4210.5
2023-02-22,Africa,3116.23,1534.22,3764.02
2023-02-23,North America,5785.9,1632.63,792.78
2023-02-23,Europe,275.6,181.16,119.53
2023-02-23,Asia,2132.54,598.7,196.49
2023-02-23,South America,2214.14,1474.8,7583.94
2023-02-23,Africa,612.27,775.43,3028.68
2023-02-24,North America,9951.93,16.71,515.1
2023-02-24,Europe,558.03,396.32,2171.62
2023-02-24,Asia,160.29,1562.67,2794.3
2023-02-24,South America,1405.93,1281.58,3119.52
2023-02-24,Africa,12.59,3073.56,2526.96
2023-02-25,North America,2118.69,2182.73,513.1
2023-02-25,Europe,5975.34,1353.93,3927.44
2023-02-25,Asia,1793.86,170.52,142.53
2023-02-25,South America,752.01,390.97,4090.11
2023-02-25,Africa,973.2,2809.91,2141.82
2023-02-26,North America,7662.73,971.15,6791.37
2023-02-26,Europe,3392.93,596.9,4080.88
2023-02-26,Asia,549.94,4802.22,4655.04
2023-02-26,South America,1944.83,1765.71,192.95
2023-02-26,Africa,2980.65,1750.75,163.48
2023-02-27,North America,2568.96,542.37,3358.12
2023-02-27,Europe,5614.71,100.16,690.86
2023-02-27,Asia,23.05,4186.92,3306.24
2023-02-27,South America,1205.02,90.4,2441.7
2023-02-27,Africa,3121.18,1118.64,1671.6
2023-02-28,North America,3503.34,93.69,455.76
2023-02-28,Europe,497.37,25.76,280.82
2023-02-28,Asia,871.76,17.84,1991.24
2023-02-28,South America,6327.5,5098.27,10660.02
2023-02-28,Africa,3463.14,1107.57,1054.33
2023-03-01,North America,2697.52,2292.31,1810.23
2023-03-01,Europe,4480.84,379.06,3386.7
2023-03-01,Asia,2314.87,1664.19,2265.51
2023-03-01,South America,994.98,1819.85,83.87
2023-03-01,Africa,1956.05,412.08,3921.36
2023-03-02,North America,1034.85,508.11,3734.92
2023-03-02,Europe,2352.17,1805.11,1364.48
2023-03-02,Asia,7885.42,710.17,1294.37
2023-03-02,South America,310.95,170.66,2688.07
2023-03-02,Africa,6.31,2578.33,2665.98
2023-03-03,North America,2543.16,1706.61,385.41
2023-03-03,Europe,3886.93,1999.94,1022.96
2023-03-03,Asia,2752.29,1160.13,3189.42
2023-03-03,South America,282.95,629.67,2474.73
2023-03-03,Africa,1638.42,1142.38,3468.4
2023-03-04,North America,1942.26,3274.34,701.49
2023-03-04,Europe,234.43,19.36,2929.34
2023-03-04,Asia,5048.41,418.99,6245.99
2023-03-04,South America,5260.25,393.25,6628.86
2023-03-04,Africa,4077.95,2735.71,377.07
2023-03-05,North America,4824.54,934.7,4289.47
2023-03-05,Europe,4121.2,2201.67,3391.74
2023-03-05,Asia,168.27,1818.52,1478.94
2023-03-05,South America,1350.25,715.56,1249.57
2023-03-05,Africa,917.57,665.21,101.46
2023-03-06,North America,1400.43,84.15,2312.35
2023-03-06,Europe,5076.92,1754.12,1704.27
2023-03-06,Asia,1957.15,367.71,2624.63
2023-03-06,South America,536.68,2973.2,5732.79
2023-03-06,Africa,2994.64,297.33,730.65
2023-03-07,North America,3587.23,1826.89,1348.77
2023-03-07,Europe,2111.84,182.59,3247.54
2023-03-07,Asia,4765.08,1043.89,589.68
2023-03-07,South America,1069.55,247.29,4110.73
2023-03-07,Africa,2153.55,2835.11,5574.65
2023-03-08,North America,16.07,1132.5,490.82
2023-03-08,Europe,3300.53,4500.27,504.05
2023-03-08,Asia,5049.79,180.85,4247.75
2023-03-08,South America,1895.91,2306.36,2984.85
2023-03-08,Africa,7947.63,1576.83,9588.39
2023-03-09,North America,1374.04,670.83,5458.76
2023-03-09,Europe,687.42,24.74,2349.5
2023-03-09,Asia,1650.52,1824.07,239.9
2023-03-09,South America,4884.27,141.5,350.96
2023-03-09,Africa,2374.76,2267.18,2006.18
2023-03-10,North America,9292.42,2031.83,1247.73
2023-03-10,Europe,1840.05,308.21,9848.44
2023-03-10,Asia,3330.74,4285.42,3765.43
2023-03-10,South America,3068.99,1997.11,1083.57
2023-03-10,Africa,847.25,1176.83,1516.77
2023-03-11,North America,5549.08,2030.72,466.67
2023-03-11,Europe,286.29,966.08,1591.54
2023-03-11,Asia,3480.14,149.02,2126.68
2023-03-11,South America,797.03,1549.46,5690.3
2023-03-11,Africa,848.44,823.16,1049.39
2023-03-12,North America,11172.22,5226.51,3794.52
2023-03-12,Europe,1389.09,88.69,420.06
2023-03-12,Asia,2098.31,237.12,7535.91
2023-03-12,South America,3130.94,3125.33,3304.54
2023-03-12,Africa,1974.03,904.58,2891.19
2023-03-13,North America,3834.47,383.37,634.2
2023-03-13,Europe,78.15,669.79,4130.21
2023-03-13,Asia,3345.61,141.78,823.5
2023-03-13,South America,1161.87,1795.14,4892.59
2023-03-13,Africa,6266.41,4513.81,4616.37
2023-03-14,North America,2488.28,1290.27,8389.37
2023-03-14,Europe,500.29,1569.49,4568.02
2023-03-14,Asia,1010.91,529.36,1358.77
2023-03-14,South America,11871.78,1883.13,2138.75
2023-03-14,Africa,3896.35,3769.66,2950.17
2023-03-15,North America,6335.62,86.68,1933.27
2023-03-15,Europe,258.69,447.23,9996.21
2023-03-15,Asia,1212.05,5036.27,2478.61
2023-03-15,South America,8030.55,2984.1,865.79
2023-03-15,Africa,211.55,132.99,381.09
2023-03-16,North America,5086.89,1657.34,4069.01
2023-03-16,Europe,389.13,2840.15,1159.76
2023-03-16,Asia,6073.94,2403.81,7195.13
2023-03-16,South America,5032.15,328.92,5583.21
2023-03-16,Africa,810.53,1169.93,461.66
2023-03-17,North America,2519.48,502.39,1049.01
2023-03-17,Europe,3001.6,251.66,4430.87
2023-03-17,Asia,2452.77,2660.42,2288.09
2023-03-17,South America,1161.58,1112.62,2663.72
2023-03-17,Africa,1256.45,379.01,394.64
2023-03-18,North America,7601.72,2052.4,3822.48
2023-03-18,Europe,1064.71,1559.31,1228.11
2023-03-18,Asia,2146.02,532.4,5206.01
2023-03-18,South America,421.73,2006.71,320.27
2023-03-18,Africa,1593.89,1106.42,3416.84
2023-03-19,North America,149.16,2912.69,1970.67
2023-03-19,Europe,4638.37,327.2,576.5
2023-03-19,Asia,2005.73,1564.38,1903.57
2023-03-19,South America,1835.62,220.95,4601.9
2023-03-19,Africa,2573.09,1527.86,1817.6
2023-03-20,North America,1559.11,158.77,1125.66
2023-03-20,Europe,2300.19,555.13,2022.94
2023-03-20,Asia,4602.12,1579.05,2397.43
2023-03-20,South America,1309.03,2493.68,2063.02
2023-03-20,Africa,3190.95,517.19,6382.89
2023-03-21,North America,3561.62,92.37,4099.34
2023-03-21,Europe,618.7,2222.96,959.22
2023-03-21,Asia,1526.59,93.62,2137.21
2023-03-21,South America,3344.92,903.46,3953.63
2023-03-21,Africa,2135.45,1682.99,641.92
2023-03-22,North America,4113.87,297.5,175.87
2023-03-22,Europe,859.8,1686.26,5194.59
2023-03-22,Asia,2079.37,2128.02,4928.84
2023-03-22,South America,5623.33,1992.7,1341.08
2023-03-22,Africa,503.46,86.14,1163.63
2023-03-23,North America,6023.1,1921.14,2911.7
2023-03-23,Europe,1584.81,320.03,407.55
2023-03-23,Asia,1747.28,673.08,4443.45
2023-03-23,South America,2700.91,4947.52,4722
2023-03-23,Africa,2086.53,100.44,2002.06
2023-03-24,North America,2167.08,2040.04,566.31
2023-03-24,Europe,258.32,826.15,6825.06
2023-03-24,Asia,174.01,32.81,615.19
2023-03-24,South America,382.43,1446.01,847.67
2023-03-24,Africa,7659.63,2009,1337.26
2023-03-25,North America,241.73,776.21,3994.57
2023-03-25,Europe,1755.51,1991.65,3301.71
2023-03-25,Asia,3447.19,3062.38,1.12
2023-03-25,South America,4150.48,1065.8,10764.16
2023-03-25,Africa,7329.81,3153.76,130.48
2023-03-26,North America,9854.4,888.55,4282.66
2023-03-26,Europe,1484.99,2751.36,3474.24
2023-03-26,Asia,509.09,2498.66,5540.58
2023-03-26,South America,1356.03,2090.2,756.5
2023-03-26,Africa,2461.5,873.02,397.69
2023-03-27,North America,1558.17,1343.28,362.65
2023-03-27,Europe,764.92,499.74,7562.17
2023-03-27,Asia,4154.48,693.07,1106.23
2023-03-27,South America,4251.39,2438.62,1193.65
2023-03-27,Africa,1924.93,837.37,1701.43
2023-03-28,North America,2621.08,3583.58,1425.19
2023-03-28,Europe,2052.52,2723.67,1048.58
2023-03-28,Asia,4340.63,1225.96,4080.27
2023-03-28,South America,6212.51,510.28,3122.93
2023-03-28,Africa,5.74,1071.66,4589.87
2023-03-29,North America,5776.08,491.74,2562.76
2023-03-29,Europe,670.14,1122.93,4819.64
2023-03-29,Asia,809.31,69.05,93.34
2023-03-29,South America,728.27,2175.63,2035.01
2023-03-29,Africa,2955.61,1062.11,1216.49
2023-03-30,North America,5709.77,163.3,7714.16
2023-03-30,Europe,843.21,865.53,1285.52
2023-03-30,Asia,2243.19,487.81,4651.45
2023-03-30,South America,11.68,2605.61,1556.33
2023-03-30,Africa,6951.61,2515.34,1324.95
2023-03-31,North America,2096.21,875,1934.46
2023-03-31,Europe,673.97,2755.5,319.87
2023-03-31,Asia,8407.07,123.19,6680.79
2023-03-31,South America,1923.17,3393.89,10378.25
2023-03-31,Africa,6192.54,4238.94,83.42
2023-04-01,North America,300.72,148.6,2339.75
2023-04-01,Europe,2670.59,2038.2,1832.25
2023-04-01,Asia,6869.79,952.42,5220.55
2023-04-01,South America,194.53,1617.86,2560.04
2023-04-01,Africa,3150.06,1132.76,1200.6
2023-04-02,North America,2585.23,178.14,6200.38
2023-04-02,Europe,202.77,718.2,977.35
2023-04-02,Asia,2830.2,4820.23,1270.77
2023-04-02,South America,2526.45,124.82,1820.1
2023-04-02,Africa,8529.45,3128.51,4739.91
2023-04-03,North America,1452.78,1409.33,1415.07
2023-04-03,Europe,4946.26,723.37,483.12
2023-04-03,Asia,495.48,1053.94,3332.21
2023-04-03,South America,1717.2,371.94,5456.36
2023-04-03,Africa,2706.26,1100.71,462.36
2023-04-04,North America,696.88,1178.2,3298.68
2023-04-04,Europe,766.63,492.65,60.52
2023-04-04,Asia,979.3,162.02,3033.33
2023-04-04,South America,4724.08,2932.4,7730.65
2023-04-04,Africa,9996.38,4608.31,1541.92
2023-04-05,North America,1479.68,139.45,569.01
2023-04-05,Europe,8638.22,110.16,2773.5
2023-04-05,Asia,1731.23,866.65,1332.32
2023-04-05,South America,606.93,5395.6,5802.02
2023-04-05,Africa,438,919.56,1664.85
2023-04-06,North America,2238.87,252.33,9465.69
2023-04-06,Europe,2213.86,3630.93,915.93
2023-04-06,Asia,4361.08,258.31,824.95
2023-04-06,South America,1975.02,1120.85,111.66
2023-04-06,Africa,1043.08,115.04,1536.89
2023-04-07,North America,953.93,2153.73,744.67
2023-04-07,Europe,7975.96,337.25,1702.47
2023-04-07,Asia,2308.52,703.6,1994.12
2023-04-07,South America,4460.11,1235.28,579.36
2023-04-07,Africa,166.61,3118.95,9941.46
2023-04-08,North America,646.03,1137.54,780.48
2023-04-08,Europe,2374.52,278.82,4396.02
2023-04-08,Asia,296.41,1974.58,2273.37
2023-04-08,South America,2442.44,1425.87,1798.47
2023-04-08,Africa,4441.68,27.26,1683.82
2023-04-09,North America,5820.91,357.72,4378.58
2023-04-09,Europe,489.77,509.51,6238.04
2023-04-09,Asia,1801.31,1513.28,2077.35
2023-04-09,South America,6433.68,1708.01,1515.17
2023-04-09,Africa,3743.73,5966.22,5188.21
2023-04-10,North America,3365.67,652.77,865.09
2023-04-10,Europe,818.03,1277.08,5638.49
2023-04-10,Asia,1155.74,1049.31,959.99
2023-04-10,South America,3770.46,965.24,145.15
2023-04-10,Africa,937.05,552.23,1753.33
2023-04-11,North America,4205.18,226.8,653.77
2023-04-11,Europe,2095.34,2341.26,1150.2
2023-04-11,Asia,4667.15,724.13,633.25
2023-04-11,South America,3601.38,3076.92,7965.27
2023-04-11,Africa,2209.12,918.83,6730.41
2023-04-12,North America,1630.94,238.81,1680.29
2023-04-12,Europe,1867.15,1538.16,4144.19
2023-04-12,Asia,4326.39,3547.24,656.18
2023-04-12,South America,2313.69,320.01,2710.99
2023-04-12,Africa,2561.91,577.02,2532.2
2023-04-13,North America,8582.11,805.33,3439.17
2023-04-13,Europe,171.59,3997.71,10013.97
2023-04-13,Asia,508.88,432.9,770.05
2023-04-13,South America,937.79,1522.26,2073.89
2023-04-13,Africa,7151.57,1239.2,1845.72
2023-04-14,North America,2743.15,5304.41,4189.07
2023-04-14,Europe,8801.93,2093.05,960.43
2023-04-14,Asia,1324.5,1035.09,1421.19
2023-04-14,South America,3336.56,303.96,1355.09
2023-04-14,Africa,3415.75,2405.54,12235.56
2023-04-15,North America,3461.65,457.29,6051.4
2023-04-15,Europe,323.58,1847.22,3646.78
2023-04-15,Asia,3972.87,438.41,1229.33
2023-04-15,South America,1015.95,1229.58,1378.47
2023-04-15,Africa,3713.48,1616.27,960.62
2023-04-16,North America,3527,2999.39,2836.06
2023-04-16,Europe,4293.54,3062.45,700.48
2023-04-16,Asia,1038.82,1434.01,1451.07
2023-04-16,South America,872.82,311.8,939.77
2023-04-16,Africa,6029.39,80.67,9769.21
2023-04-17,North America,10972.67,2877.17,8832.26
2023-04-17,Europe,1046.39,920.26,1079.26
2023-04-17,Asia,1625.67,265.2,4244.85
2023-04-17,South America,357.05,3718.57,2971.46
2023-04-17,Africa,1918.64,1588.23,113.55
2023-04-18,North America,1246.6,3141.54,5928.77
2023-04-18,Europe,5810.13,912.88,2557.74
2023-04-18,Asia,333.91,3189.56,1978.87
2023-04-18,South America,5757.63,839.43,886.44
2023-04-18,Africa,2574.25,199.21,2953.63
2023-04-19,North America,356.18,2193.99,1678.53
2023-04-19,Europe,9318.2,62.12,3753.76
2023-04-19,Asia,1620.18,133.15,1526.28
2023-04-19,South America,804.41,3629.23,1833.52
2023-04-19,Africa,131.85,995.37,2932.1
2023-04-20,North America,2654.74,6349.65,4224.88
2023-04-20,Europe,6668.91,2203.27,8274.46
2023-04-20,Asia,1984.38,1644.31,1461.95
2023-04-20,South America,5925.15,1094.55,1774.93
2023-04-20,Africa,2294.31,191.2,4631.16
2023-04-21,North America,320.28,194.49,8243.62
2023-04-21,Europe,3754.27,1594.81,410.56
2023-04-21,Asia,3106.32,1016.89,390.37
2023-04-21,South America,1987.79,4409.43,2686.13
2023-04-21,Africa,5302.59,745.78,2503.56
2023-04-22,North America,1772.1,3559.41,2160.44
2023-04-22,Europe,10749.56,5097.61,80.46
2023-04-22,Asia,3484.87,956.35,3039.05
2023-04-22,South America,1591.65,77.9,4245.72
2023-04-22,Africa,865.91,277.77,7730.69
2023-04-23,North America,2469.43,378.51,2844.1
2023-04-23,Europe,5704.87,2541.64,2932.26
2023-04-23,Asia,2226.74,2668.72,4276.89
2023-04-23,South America,3991.72,4128.11,3920.85
2023-04-23,Africa,2602.03,371.01,1685.62
2023-04-24,North America,6684.87,608.41,355.09
